resource,hour,generation
wind,1,80.45
solar,1,0.0
coal,1,690.0
_discharge_bess,1,0.0
_charge_bess,1,61.749
curtailment,1,0.0
wind,2,86.3
solar,2,0.0
coal,2,690.0
_discharge_bess,2,0.0
_charge_bess,2,69.999
curtailment,2,7.105427357601002e-15
wind,3,93.55000000000001
solar,3,0.0
coal,3,690.0
_discharge_bess,3,0.0
_charge_bess,3,84.17099999999999
curtailment,3,7.105427357601002e-15
wind,4,97.5
solar,4,0.0
coal,4,690.0
_discharge_bess,4,0.0
_charge_bess,4,87.83500000000001
curtailment,4,0.0
wind,5,97.94999999999999
solar,5,0.0
coal,5,664.274
_discharge_bess,5,0.0
_charge_bess,5,57.438
curtailment,5,0.0
wind,6,87.0
solar,6,0.0
coal,6,662.141
_discharge_bess,6,0.0
_charge_bess,6,31.752
curtailment,6,7.105427357601002e-15
wind,7,73.0
solar,7,0.0
coal,7,679.529
_discharge_bess,7,0.0
_charge_bess,7,5.773
curtailment,7,0.0
wind,8,66.30000000000001
solar,8,2.04
coal,8,690.0
_discharge_bess,8,8.25
_charge_bess,8,0.0
curtailment,8,-3.552713678800501e-15
wind,9,67.75
solar,9,55.879999999999995
coal,9,670.904
_discharge_bess,9,0.0
_charge_bess,9,9.27
curtailment,9,-7.105427357601002e-15
wind,10,73.95
solar,10,157.54
coal,10,581.13
_discharge_bess,10,0.0
_charge_bess,10,1.798
curtailment,10,-7.105427357601002e-15
wind,11,68.65
solar,11,219.76999999999998
coal,11,529.207
_discharge_bess,11,0.0
_charge_bess,11,0.327
curtailment,11,0.0
wind,12,57.35
solar,12,267.01
coal,12,480.2
_discharge_bess,12,0.0
_charge_bess,12,0.05
curtailment,12,-7.105427357601002e-15
wind,13,46.9
solar,13,350.14
coal,13,386.336
_discharge_bess,13,0.0
_charge_bess,13,0.0
curtailment,13,-7.105427357601002e-15
wind,14,37.1
solar,14,371.81
coal,14,387.897
_discharge_bess,14,0.0
_charge_bess,14,0.0
curtailment,14,-3.552713678800501e-15
wind,15,28.65
solar,15,328.34000000000003
coal,15,452.464
_discharge_bess,15,0.0
_charge_bess,15,0.0
curtailment,15,0.0
wind,16,22.549999999999997
solar,16,230.51999999999998
coal,16,565.879
_discharge_bess,16,0.0
_charge_bess,16,0.0
curtailment,16,1.7763568394002505e-15
wind,17,19.35
solar,17,106.67999999999999
coal,17,690.0
_discharge_bess,17,8.108
_charge_bess,17,0.0
curtailment,17,0.0
wind,18,22.0
solar,18,7.77
coal,18,690.0
_discharge_bess,18,80.822
_charge_bess,18,0.0
curtailment,18,0.0
wind,19,21.6
solar,19,0.0
coal,19,690.0
_discharge_bess,19,74.643
_charge_bess,19,0.0
curtailment,19,-1.7763568394002505e-15
wind,20,11.5
solar,20,0.0
coal,20,690.0
_discharge_bess,20,66.863
_charge_bess,20,0.0
curtailment,20,-8.881784197001252e-16
wind,21,5.5
solar,21,0.0
coal,21,690.0
_discharge_bess,21,53.507000000000005
_charge_bess,21,0.0
curtailment,21,0.0
wind,22,6.449999999999999
solar,22,0.0
coal,22,690.203
_discharge_bess,22,40.039
_charge_bess,22,0.0
curtailment,22,0.0
wind,23,8.85
solar,23,0.0
coal,23,715.116
_discharge_bess,23,0.0
_charge_bess,23,0.0
curtailment,23,0.0
wind,24,9.15
solar,24,0.0
coal,24,705.836
_discharge_bess,24,0.0
_charge_bess,24,0.0
curtailment,24,0.0
